n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,993.875,238.076,618,759.5,1031,1142.75,2137
2,3177.62,728.146,2355,2826.5,3159.5,3313.25,8238
3,17041.2,4295.95,14381,14942.8,15752,17581.2,45038
4,111244,8588.51,99352,103920,111760,115534,134918
5,784055,79368.9,706945,741039,758046,803173,1.11532e+06
6,5.56839e+06,219397,5.17403e+06,5.40173e+06,5.55328e+06,5.70913e+06,6.16845e+06
7,3.67834e+07,873684,3.54045e+07,3.60021e+07,3.67914e+07,3.7518e+07,3.87342e+07
8,2.48148e+08,2.58312e+06,2.45273e+08,2.46564e+08,2.47577e+08,2.48992e+08,2.59942e+08
9,1.73272e+09,2.02802e+07,1.72301e+09,1.72791e+09,1.73013e+09,1.73319e+09,1.89e+09
10,1.20916e+10,8.16043e+07,1.2048e+10,1.20601e+10,1.2067e+10,1.20907e+10,1.25747e+10
