n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,789.531,1448.3,348,389.25,428,542.25,8474
2,888.5,43.321,784,865,888,906.25,1036
3,3648.34,583.13,3483,3519,3544.5,3575.25,6836
4,23131.3,1069.23,21786,22748.2,22911,23613.8,27363
5,163057,7201.99,156389,157692,161377,165174,184258
6,1.20699e+06,57400.1,1.13619e+06,1.17391e+06,1.18351e+06,1.21257e+06,1.36433e+06
7,8.99084e+06,262170,8.68781e+06,8.83008e+06,8.90421e+06,9.0767e+06,9.6705e+06
8,6.28641e+07,1.57532e+06,6.08056e+07,6.11392e+07,6.33089e+07,6.41492e+07,6.55078e+07
9,4.37187e+08,1.20316e+06,4.33848e+08,4.36873e+08,4.37254e+08,4.37754e+08,4.40742e+08
10,3.10293e+09,4.63076e+07,3.04567e+09,3.06852e+09,3.08277e+09,3.13961e+09,3.19223e+09
11,2.19464e+10,2.73678e+08,2.14419e+10,2.18183e+10,2.19349e+10,2.20513e+10,2.2585e+10
