n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,454.25,195.431,356,370,405,437.5,1446
2,857.688,88.2052,775,810.5,840.5,864.75,1155
3,3834.66,653.311,3448,3541,3577,3739.75,6647
4,27520.4,1363,26234,26642.2,27125.5,27723.5,31781
5,178689,23158.6,149474,158759,172633,199082,232531
6,1.25178e+06,90058.4,1.08244e+06,1.17403e+06,1.27641e+06,1.33082e+06,1.38948e+06
7,9.31466e+06,355404,8.59697e+06,9.1138e+06,9.27597e+06,9.48664e+06,1.0308e+07
8,6.52288e+07,2.20231e+06,6.21785e+07,6.31066e+07,6.49507e+07,6.73409e+07,6.97161e+07
9,4.48605e+08,9.65268e+06,4.39869e+08,4.43708e+08,4.45258e+08,4.50185e+08,4.89467e+08
10,3.18605e+09,4.69004e+07,3.12144e+09,3.15051e+09,3.17418e+09,3.21191e+09,3.31254e+09
11,2.23004e+10,2.81912e+08,2.17107e+10,2.21055e+10,2.23532e+10,2.24869e+10,2.28818e+10
