n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,4.19192e+10,8.94027e+07,4.18343e+10,4.18468e+10,4.19161e+10,4.19884e+10,4.20103e+10
2,2.74655e+10,2.57657e+07,2.74335e+10,2.74531e+10,2.74669e+10,2.74793e+10,2.74948e+10
3,2.27943e+10,1.34685e+08,2.27217e+10,2.27258e+10,2.27296e+10,2.2798e+10,2.29962e+10
4,2.15027e+10,1.57876e+07,2.14878e+10,2.14944e+10,2.14991e+10,2.15073e+10,2.15248e+10
5,2.2254e+10,4.55461e+06,2.22479e+10,2.22519e+10,2.22548e+10,2.22568e+10,2.22584e+10
6,2.49482e+10,3.41177e+06,2.49445e+10,2.49465e+10,2.49478e+10,2.49496e+10,2.49527e+10
7,2.84338e+10,9.37258e+06,2.84251e+10,2.8426e+10,2.84339e+10,2.84417e+10,2.84424e+10
8,3.33832e+10,2.68815e+08,3.3001e+10,3.32969e+10,3.34653e+10,3.35516e+10,3.3601e+10
9,4.69282e+10,6.27944e+08,4.61379e+10,4.66208e+10,4.69783e+10,4.72857e+10,4.76182e+10
10,7.83633e+10,6.39082e+09,7.28916e+10,7.4304e+10,7.66355e+10,8.06948e+10,8.72904e+10
