n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,226.461,79.6991,187,201.75,208,223.25,967
2,715.531,111.496,620,662,683,715,1239
3,4308.12,901.612,3846,3899,4001,4509.75,12841
4,31463.1,3349.98,27839,28566.5,29532.5,35116.5,38979
5,235125,6705.96,221612,230619,234140,239230,251524
6,1.8776e+06,62053.6,1.81684e+06,1.8409e+06,1.85942e+06,1.89729e+06,2.19766e+06
7,1.53874e+07,197020,1.51333e+07,1.5252e+07,1.53571e+07,1.54655e+07,1.6465e+07
8,1.2492e+08,1.67132e+06,1.22967e+08,1.23791e+08,1.24348e+08,1.25263e+08,1.30188e+08
9,1.16417e+09,4.9422e+07,1.13087e+09,1.13321e+09,1.14792e+09,1.17757e+09,1.40298e+09
10,1.14366e+10,6.57631e+08,1.08676e+10,1.09136e+10,1.11578e+10,1.18319e+10,1.3838e+10
