n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,349.391,131.44,197,225.5,363,448.75,1051
2,677.156,42.264,611,650,672.5,694.25,946
3,4163.52,739.192,3786,3897.75,3959,4018.5,10065
4,30078.1,3211.69,27859,28588.5,29209.5,29937.2,46090
5,243070,23334.9,224482,231210,236364,241790,351067
6,1.91091e+06,105348,1.79836e+06,1.84601e+06,1.8745e+06,1.9543e+06,2.40878e+06
7,1.56224e+07,283230,1.51569e+07,1.54064e+07,1.55976e+07,1.5791e+07,1.64265e+07
8,1.24023e+08,572601,1.22902e+08,1.23611e+08,1.23924e+08,1.24362e+08,1.26124e+08
9,1.19166e+09,5.46468e+07,1.14309e+09,1.15896e+09,1.16862e+09,1.20729e+09,1.51527e+09
10,1.16368e+10,3.81906e+08,1.12393e+10,1.13317e+10,1.1599e+10,1.19086e+10,1.38074e+10
