n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,266.094,111.996,190,206.75,218.5,252,833
2,715.758,199.291,581,628,651.5,689.5,2132
3,3996.16,497.066,3647,3842.75,3923,4029.25,8884
4,35657.4,2744.3,32804,34028.8,35074,36617.5,55186
5,221048,7664.57,209438,216170,220212,225041,282176
6,1.77418e+06,70409.2,1.68538e+06,1.72407e+06,1.74948e+06,1.80596e+06,2.02391e+06
7,1.44555e+07,306928,1.40238e+07,1.42279e+07,1.44072e+07,1.45863e+07,1.56633e+07
8,1.13331e+08,2.06064e+06,1.12008e+08,1.12439e+08,1.12717e+08,1.13734e+08,1.32971e+08
9,9.31679e+08,4.15484e+06,9.27082e+08,9.28814e+08,9.3034e+08,9.33242e+08,9.487e+08
10,8.89349e+09,2.88749e+08,8.6266e+09,8.7074e+09,8.82172e+09,8.98696e+09,1.0607e+10
