n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,298.742,135.487,195,216,244.5,371,1509
2,923.727,165.489,620,785.25,982,1053.5,1279
3,4168.41,548.113,3756,3906.75,3972,4287.75,8691
4,30044.1,3115.05,27100,27877.2,28546,32080.8,38321
5,223205,10240.5,210162,215633,221208,227018,278282
6,1.77596e+06,63806.3,1.69742e+06,1.72832e+06,1.75716e+06,1.8026e+06,1.98101e+06
7,1.43916e+07,252533,1.3872e+07,1.41908e+07,1.44036e+07,1.45494e+07,1.50543e+07
8,1.13986e+08,2.57376e+06,1.10833e+08,1.13084e+08,1.13472e+08,1.14137e+08,1.32009e+08
9,9.51786e+08,2.26906e+06,9.46676e+08,9.50276e+08,9.51654e+08,9.53052e+08,9.58944e+08
10,8.97634e+09,2.52511e+07,8.93038e+09,8.9496e+09,8.98615e+09,8.99653e+09,9.03883e+09
11,2.05934e+11,1.49046e+10,1.89406e+11,1.90404e+11,2.04934e+11,2.14458e+11,2.33046e+11
