n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,708.258,233.161,571,656.5,692,711.25,3209
2,2437.69,200.051,2206,2338.75,2401.5,2489,4179
3,14156.7,662.614,13076,13594,14195,14578.5,16338
4,95026,4351.75,86261,91458,94979,98222,108641
5,670781,70086.2,599980,632470,658699,682421,1.04208e+06
6,5.16705e+06,564676,4.6279e+06,4.9438e+06,5.02933e+06,5.15876e+06,8.05867e+06
7,3.55718e+07,583196,3.31828e+07,3.51407e+07,3.54236e+07,3.59874e+07,3.71454e+07
8,2.50649e+08,3.4123e+06,2.46478e+08,2.47764e+08,2.49818e+08,2.52467e+08,2.59874e+08
9,1.73552e+09,1.13357e+07,1.72654e+09,1.73103e+09,1.73219e+09,1.73393e+09,1.80792e+09
10,1.21196e+10,5.53372e+07,1.19546e+10,1.21209e+10,1.21283e+10,1.21345e+10,1.23367e+10
11,8.52074e+10,4.3126e+08,8.48359e+10,8.49688e+10,8.50227e+10,8.52909e+10,8.79551e+10
