n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,1093.88,183.205,681,1045.5,1087.5,1146.25,2599
2,4100.65,711.595,2665,3986.75,4083.5,4209.5,11143
3,23795.8,1801.37,18598,23359.8,24096,24539.8,30861
4,114976,12929.7,92849,107214,111376,116950,157747
5,707256,31381.9,658320,680900,701454,727964,797047
6,5.29155e+06,134625,5.02561e+06,5.21225e+06,5.29179e+06,5.3368e+06,6.07304e+06
7,3.71495e+07,874452,3.55736e+07,3.64199e+07,3.72271e+07,3.77189e+07,4.03591e+07
8,2.46806e+08,2.68123e+06,2.42015e+08,2.45677e+08,2.47041e+08,2.47827e+08,2.60993e+08
9,1.73153e+09,5.50409e+06,1.70978e+09,1.73093e+09,1.73229e+09,1.73371e+09,1.74666e+09
10,1.2179e+10,1.08112e+07,1.21272e+10,1.21749e+10,1.21797e+10,1.21848e+10,1.22024e+10
11,8.51546e+10,4.86467e+08,8.46249e+10,8.49927e+10,8.50175e+10,8.50483e+10,8.69678e+10
