n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,700.625,169.168,578,639,668.5,705,2290
2,2568.95,242.73,2291,2436.75,2544,2640.75,4381
3,15115,1269.08,13948,14393.5,14708.5,15518.2,23815
4,104801,5841.49,96020,99817.2,106024,108576,132110
5,750404,56318.3,688650,713564,743156,766927,1.0956e+06
6,5.15773e+06,235193,4.82714e+06,5.02172e+06,5.10686e+06,5.23745e+06,6.74373e+06
7,3.59414e+07,1.20879e+06,3.44348e+07,3.5025e+07,3.53828e+07,3.6758e+07,3.99975e+07
8,2.49185e+08,6.06701e+06,2.44376e+08,2.45727e+08,2.46444e+08,2.50338e+08,2.77685e+08
9,1.72949e+09,1.79045e+07,1.71436e+09,1.72113e+09,1.72348e+09,1.72739e+09,1.81088e+09
10,1.21002e+10,4.08245e+07,1.20511e+10,1.2085e+10,1.20947e+10,1.21061e+10,1.24926e+10
11,8.51489e+10,1.52128e+09,8.43974e+10,8.46727e+10,8.47311e+10,8.48314e+10,9.23283e+10
