n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,627.633,199.919,538,584.75,600,636.25,2818
2,2766.84,432.367,2326,2467.5,2589.5,3009,4209
3,16044,1496.58,14773,14979.5,15962,16276.8,24573
4,107573,4637.56,102944,103452,105426,111920,122678
5,766170,29551.9,722621,737766,762603,791554,830100
6,5.26357e+06,89553.4,5.05555e+06,5.19864e+06,5.26302e+06,5.31738e+06,5.51209e+06
7,3.58191e+07,248110,3.50872e+07,3.56389e+07,3.58092e+07,3.59869e+07,3.6395e+07
8,2.54184e+08,3.98889e+06,2.49356e+08,2.51362e+08,2.53054e+08,2.5628e+08,2.6995e+08
9,1.76124e+09,8.15886e+06,1.74789e+09,1.75704e+09,1.76029e+09,1.76402e+09,1.80638e+09
10,1.2332e+10,5.70002e+07,1.22745e+10,1.23e+10,1.23246e+10,1.2353e+10,1.2829e+10
11,8.73048e+10,1.64608e+09,8.608e+10,8.64611e+10,8.66905e+10,8.71643e+10,9.37977e+10
